text,label,status,source,category,timestamp
a man got pregnent in INDONESIA,Fake,AUTO_SAVED,,other,2026-05-25T18:39:48.976700
mamta banarjee is the current CM of WB,Real,AUTO_SAVED,,other,2026-05-25T18:41:05.032183
suvendu adhikari is the current CM of WB,Real,AUTO_SAVED,,other,2026-05-25T22:48:25.124977
narendra modi is the current CM of WB,Fake,AUTO_SAVED,,other,2026-05-25T22:48:50.587448
narendra modi is died,Fake,AUTO_SAVED,,other,2026-05-25T22:49:10.568145
atal bihari bajpayee is dead,Real,AUTO_SAVED,,other,2026-05-25T22:50:10.188650
"Mamta Banerjee is current CM of West Bengal
",Real,AUTO_SAVED,,other,2026-05-26T17:22:57.265236
"NITISH KUMAR IS THE CM OF WEST BENGAL
",Fake,AUTO_SAVED,,other,2026-05-26T17:24:12.936242
sun rises in the east,Real,AUTO_SAVED,,other,2026-05-26T17:31:21.898731
"sun rises in the west
",Fake,AUTO_SAVED,,other,2026-05-26T17:31:49.220156
virat kohli died in a car accident,Fake,AUTO_SAVED,,other,2026-05-30T00:08:44.995357
